Date	T	E0	N	S	U
2020-01-27	5.844	1.284	17.02	27	0.1244
2020-01-28	5.838	2.492	16.93	27	0.09132
2020-01-29	5.707	4.086	16.84	27	0.04775
2020-01-30	5.656	1.612	16.74	27	0.05515
2020-01-31	5.796	2.574	16.65	27	0.09199
2020-02-01	6	2.256	16.56	27	0.04072
2020-02-02	5.948	3.332	16.47	27	0.07367
2020-02-03	5.785	1.841	16.38	27	0.01864
2020-02-04	5.675	3.474	16.29	27	0.06729
2020-02-05	5.468	6.191	16.18	27	0.1276
2020-02-06	5.595	5.305	16.05	27	0.1151
2020-02-07	5.588	1.649	15.92	27	0.1326
2020-02-08	5.472	3.914	15.79	27	0.1225
2020-02-09	5.529	0.9161	15.66	27	0.1244
2020-02-10	5.598	2.766	15.54	27	0.117
2020-02-11	5.451	3.29	15.41	27	0.1039
2020-02-12	5.282	3.174	15.28	27	0.09203
2020-02-13	5.188	5.004	15.15	27	0.04066
2020-02-14	5.128	3.712	15.02	27	0.06333
2020-02-15	5.155	1.903	14.89	27	0.1259
2020-02-16	5.463	1.308	14.76	27	0.08766
2020-02-17	5.539	2.37	14.63	27	0.05677
2020-02-18	5.497	4.476	14.51	27	0.08544
2020-02-19	5.419	5.336	14.38	27	0.09886
2020-02-20	5.405	1.604	14.25	27	0.1172
2020-02-21	5.413	5.009	14.12	27	0.1281
2020-02-22	5.51	3.032	13.99	27	0.1339
2020-02-23	5.381	3.944	13.86	27	0.135
2020-02-24	5.235	4.602	13.73	27	0.1403
2020-02-25	5.148	5.299	13.61	27	0.1083
2020-02-26	4.981	3.116	13.48	27	0.08843
2020-02-27	4.955	7.438	13.13	26.89	0.05929
2020-02-28	4.954	8.797	12.56	26.67	0.05599
2020-02-29	4.876	2.534	11.98	26.45	0.08233
2020-03-01	4.889	4.332	11.41	26.23	0.05826
2020-03-02	4.92	7.262	10.83	26	0.058
2020-03-03	4.979	2.57	10.25	25.78	0.02692
2020-03-04	4.958	6.217	9.677	25.56	0.03741
2020-03-05	4.917	10.55	9.101	25.34	0.03818
2020-03-06	4.952	6.137	8.525	25.12	0.05933
2020-03-07	4.842	9.201	7.949	24.89	0.104
2020-03-08	4.873	2.463	7.373	24.67	0.08198
2020-03-09	5.045	7.273	6.797	24.45	0.1178
2020-03-10	5.153	3.516	6.221	24.23	0.1236
2020-03-11	5.305	13.93	5.645	24	0.08997
2020-03-12	5.378	8.063	5.068	23.78	0.04397
2020-03-13	5.303	9.664	4.492	23.56	0.0857
2020-03-14	5.26	16.14	3.916	23.34	0.06563
2020-03-15	5.229	3.879	3.34	23.12	0.05906
2020-03-16	5.39	8.174	3.183	22.95	0.05345
2020-03-17	5.558	10.23	3.481	22.85	0.05083
2020-03-18	5.695	6.047	3.779	22.75	0.05737
2020-03-19	5.805	15.78	4.077	22.65	0.09967
2020-03-20	5.847	16.6	4.375	22.55	0.05357
2020-03-21	5.779	17.36	4.673	22.45	0.08709
2020-03-22	5.644	18.47	4.971	22.35	0.06824
2020-03-23	5.51	17.98	5.269	22.25	0.1173
2020-03-24	5.464	17.83	5.567	22.15	0.1086
2020-03-25	5.528	20.69	5.865	22.05	0.129
2020-03-26	5.676	19.06	5.898	21.93	0.1338
2020-03-27	5.822	20.66	5.645	21.77	0.1285
2020-03-28	6.024	17.69	5.391	21.62	0.1034
2020-03-29	5.929	19.54	5.132	21.46	0.03548
2020-03-30	5.751	19.77	4.883	21.31	0.03993
2020-03-31	5.718	18.91	4.629	21.16	0.05139
2020-04-01	5.858	13.08	4.375	21	0.08094
2020-04-02	5.898	10.3	4.121	20.85	0.05251
2020-04-03	5.789	18.34	3.868	20.7	0.05616
2020-04-04	5.823	17.41	3.614	20.54	0.07094
2020-04-05	6.101	20.58	3.36	20.39	0.03957
2020-04-06	6.245	20.61	3.106	20.23	0.1524
2020-04-07	6.639	21.1	2.852	20.08	0.136
2020-04-08	7.119	19.98	2.719	20	0.1391
2020-04-09	7.109	22.93	2.717	20	0.1365
2020-04-10	6.787	21.07	2.715	20	0.1303
2020-04-11	6.697	8.748	2.713	20	0.09463
2020-04-12	7	23.3	2.711	20	0.09616
2020-04-13	6.577	21.62	2.709	20	0.08163
2020-04-14	6.655	19.9	2.707	20	0.04092
2020-04-15	6.889	22.64	2.705	20	0.0748
2020-04-16	7.138	25.33	2.703	20	0.06291
2020-04-17	7.387	26.5	2.701	20	0.05311
2020-04-18	7.644	26.92	2.699	20	0.04955
2020-04-19	7.805	27.33	2.697	20	0.1085
2020-04-20	8.388	28.25	2.695	20	0.02781
2020-04-21	8.952	27.7	2.693	20	0.1282
2020-04-22	9.157	27.36	2.691	20	0.1536
2020-04-23	9.464	25.25	2.773	20	0.1444
2020-04-24	8.71	23.13	2.947	20	0.08743
2020-04-25	9.392	19.05	3.121	20	0.07784
2020-04-26	9.421	12.35	3.295	20	0.03199
2020-04-27	9.365	5.743	3.469	20	0.03685
2020-04-28	9.44	19.22	3.581	20	0.03745
2020-04-29	9.571	11.62	3.624	20	0.04648
2020-04-30	9.268	7.521	3.667	20	0.04117
