Output	Input	Measure	EffectMean	EffectSE	LowerPercentile	HigherPercentile	P	Sig
maxPrevalence	fileNumber	Total	0.45086422506157	0.000571017618253722	0.445359458922933	0.456323272284206	0	***
maxPrevalence	fileNumber	FirstOrder	0.240096501653298	0.000660262209876768	0.233775488537233	0.24644794132832	0	***
maxPrevalence	sporulationOn	Total	0.376946864758784	0.000560081459567097	0.371625595359181	0.382299341471777	0	***
maxPrevalence	sporulationOn	FirstOrder	0.20256155446613	0.000665414261521284	0.196192507138835	0.208970256730568	0	***
maxPrevalence	transmissionEfficiency	Total	0.334435139635689	0.000447187842267832	0.330173984211931	0.338761147996439	0	***
maxPrevalence	transmissionEfficiency	FirstOrder	0.224277440237545	0.000595362023278431	0.218560571159035	0.229968934848179	0	***
maxPrevalence	cadaverDuration	Total	0.0714788203836486	0.000138329695550694	0.0701776083982674	0.0728073291091923	0	***
maxPrevalence	cadaverDuration	FirstOrder	0.027939063861229	0.000587033842975347	0.0222698401784301	0.0336087077095378	0	***
maxPrevalence	timeAcceleration	Total	0.0639107883812579	0.000124439058380092	0.062733419800975	0.0651205752084622	0	***
maxPrevalence	timeAcceleration	FirstOrder	0.0220539826781145	0.000586036568596192	0.0164095417432102	0.0276139999664046	0	***
maxPrevalence	lethalTime	Total	0.042278841808525	8.80194448810111e-05	0.0414360061811345	0.0431111922539869	0	***
maxPrevalence	lethalTime	FirstOrder	0.0120519036495858	0.000579379957710841	0.00655769462533495	0.0175537418849712	0	***
maxPrevalence	propExposedImmigrants	Total	0.00993798567830265	2.46867052296949e-05	0.00970517045055232	0.0101784792408511	0	***
maxPrevalence	propExposedImmigrants	FirstOrder	0.00121372900829516	0.000573099334619462	0	0.00663532663234742	0.3294	ns
maxPrevalence	immunityCost	Total	0.000114321436647864	3.49701755964717e-07	0.000110960284526831	0.0001177465148973	0	***
maxPrevalence	immunityCost	FirstOrder	-0.00181383075112115	0.000568924445473478	0	0.00361332950268323	0.7436	ns
maxCadaverPrevalence	fileNumber	Total	0.27317750569219	0.00034217946640688	0.269925364412566	0.276466805741734	0	***
maxCadaverPrevalence	fileNumber	FirstOrder	0.157119571372988	0.000583433876509559	0.151427041359931	0.162697548303236	0	***
maxCadaverPrevalence	lethalTime	Total	0.264869242279077	0.000274239905210199	0.262226327381468	0.267478164797915	0	***
maxCadaverPrevalence	lethalTime	FirstOrder	0.183620209414518	0.00057847191632319	0.178123576309095	0.189188017536943	0	***
maxCadaverPrevalence	transmissionEfficiency	Total	0.255160706496695	0.000304365697857873	0.252296173643341	0.258084042175282	0	***
maxCadaverPrevalence	transmissionEfficiency	FirstOrder	0.185000692420383	0.000564877371533176	0.179538142666104	0.190341025529922	0	***
maxCadaverPrevalence	sporulationOn	Total	0.16342007687507	0.000327652125478469	0.160251346208235	0.16655019732382	0	***
maxCadaverPrevalence	sporulationOn	FirstOrder	0.0733141877270983	0.000571911128410588	0.0678922993106314	0.0787142651288048	0	***
maxCadaverPrevalence	timeAcceleration	Total	0.162475212965589	0.000193617482649885	0.160639810712768	0.164359021737828	0	***
maxCadaverPrevalence	timeAcceleration	FirstOrder	0.113907244497625	0.000580167604784622	0.108216216757292	0.1194140509033	0	***
maxCadaverPrevalence	cadaverDuration	Total	0.128714165906605	0.000159577920673963	0.127184211393362	0.130265800653	0	***
maxCadaverPrevalence	cadaverDuration	FirstOrder	0.0908801917276606	0.000577886823962299	0.0851966458785235	0.0965202382375807	0	***
maxCadaverPrevalence	propExposedImmigrants	Total	0.00834747652295509	1.35027280289641e-05	0.00821828055989335	0.00847833422234381	0	***
maxCadaverPrevalence	propExposedImmigrants	FirstOrder	0.00153518099083517	0.000565494919943113	0	0.00687834597568855	0.2872	ns
maxCadaverPrevalence	immunityCost	Total	0.000378497841791367	1.21297325441161e-06	0.000367148166091697	0.000390510613942695	0	***
maxCadaverPrevalence	immunityCost	FirstOrder	-0.00349931691484593	0.000564348611610263	0	0.001833994370624	0.8991	ns
yieldImprovement	lethalTime	Total	0.312251581129603	0.000466523436629471	0.307795366639245	0.316661334435079	0	***
yieldImprovement	lethalTime	FirstOrder	0.211409546235752	0.000825069684484148	0.203529527630486	0.219368002643603	0	***
yieldImprovement	transmissionEfficiency	Total	0.274304667949966	0.000427644828481834	0.270237516776762	0.27846353781251	0	***
yieldImprovement	transmissionEfficiency	FirstOrder	0.183536065147396	0.000780747502125235	0.176100362700991	0.191014087505323	0	***
yieldImprovement	fileNumber	Total	0.208084531292086	0.000363505593782769	0.204639794379921	0.2116055597882	0	***
yieldImprovement	fileNumber	FirstOrder	0.110586657453531	0.000784634428115514	0.103233367214893	0.117963450889413	0	***
yieldImprovement	propExposedImmigrants	Total	0.144244547609148	0.000188213093762143	0.14243897099516	0.146045594606562	0	***
yieldImprovement	propExposedImmigrants	FirstOrder	0.127274048071641	0.000608907153285032	0.121571965029401	0.133108494911093	0	***
yieldImprovement	sporulationOn	Total	0.143909830685278	0.000391097903101478	0.140130445664255	0.147736237249369	0	***
yieldImprovement	sporulationOn	FirstOrder	0.0755904269289753	0.00066422143516649	0.0692061493469081	0.0819211606774107	0	***
yieldImprovement	timeAcceleration	Total	0.0749664536288715	0.000128354165585019	0.0737526453779262	0.0761894044915776	0	***
yieldImprovement	timeAcceleration	FirstOrder	0.0467246772808429	0.00069603112520086	0.0400637008628436	0.0534217378426963	0	***
yieldImprovement	cadaverDuration	Total	0.0554478932331367	9.48428816704178e-05	0.0545321884080824	0.0563471050720647	0	***
