Station	Date	Tmin	Tmax	Tavg	I
613500	01/05/2018	6.1	10.4	8.2	4.5
613500	02/05/2018	4.4	13.4	9.3	24.6
613500	03/05/2018	5.4	13.1	9	19.5
613500	04/05/2018	1.9	12.9	8.1	21.7
613500	05/05/2018	2.9	17.5	10.9	24.6
613500	06/05/2018	4.7	19.4	13.4	25.5
613500	07/05/2018	7.4	21.8	15.4	25.6
613500	08/05/2018	7.6	22.9	15.9	25.7
613500	09/05/2018	9.2	22.9	16.1	25.4
613500	10/05/2018	10.5	23.5	16.2	20.7
613500	11/05/2018	8.7	16.6	12.1	16.2
613500	12/05/2018	6.4	18.6	12.8	19.7
613500	13/05/2018	8	23.2	15.4	24.4
613500	14/05/2018	11.2	25.1	18.1	25.9
613500	15/05/2018	10.4	23.2	17.2	23.4
613500	16/05/2018	10.3	24	17.8	21.6
613500	17/05/2018	9.9	19.4	14.2	25.9
613500	18/05/2018	8.5	18.8	14.2	24.1
613500	19/05/2018	9.5	19.2	14.5	22.3
613500	20/05/2018	6.5	20.4	14.2	27.3
613500	21/05/2018	6.6	19.5	13.8	23.1
613500	22/05/2018	9.3	22.7	15.6	21.6
613500	23/05/2018	7.3	24.7	16.7	25.9
613500	24/05/2018	9.7	22.7	16.8	28.2
613500	25/05/2018	11.1	22.5	16.8	27.8
613500	26/05/2018	11.9	24.7	17.6	21.2
613500	27/05/2018	12.1	21.7	16.3	15.5
613500	28/05/2018	13.3	21.4	16.6	11.7
613500	29/05/2018	14.7	25.9	20.4	26.8
613500	30/05/2018	14.4	26.8	20.7	28.1
613500	31/05/2018	15.4	23.1	19	24.9
613500	01/06/2018	13.6	26.6	19.9	27.1
613500	02/06/2018	11.8	26.9	20.4	28.1
613500	03/06/2018	13.1	24.3	18.6	25.2
613500	04/06/2018	14.4	23.3	18.7	26.4
613500	05/06/2018	13.2	24.1	18.5	29
613500	06/06/2018	9.8	21.4	16.2	29.4
613500	07/06/2018	9.5	23.6	17.2	29.6
613500	08/06/2018	10	27.5	19.6	27.3
613500	09/06/2018	12.1	27.2	20.3	24.3
613500	10/06/2018	15.7	24.9	18.9	13.1
613500	11/06/2018	11.2	19.1	15.2	14.6
613500	12/06/2018	12.9	18.7	15.1	14
613500	13/06/2018	12	19	15	27.2
613500	14/06/2018	10.9	21.1	15.9	23.7
613500	15/06/2018	11	20.4	15.9	28.5
613500	16/06/2018	9	20.8	15.5	13.6
613500	17/06/2018	12.5	19.9	16.1	18.7
613500	18/06/2018	10.5	18.8	15.5	15.8
613500	19/06/2018	12	20.3	16.6	24.4
613500	20/06/2018	10.7	23.6	17.2	21.4
613500	21/06/2018	10.5	17	13.5	13.2
613500	22/06/2018	9.5	18.4	13.3	22.7
613500	23/06/2018	9.8	17.8	13.8	28.7
613500	24/06/2018	11.4	19.3	14.6	19
613500	25/06/2018	9.8	23.3	16.6	22.8
613500	26/06/2018	12.6	25.7	19.4	27.1
613500	27/06/2018	11.9	23.9	18.6	29.4
613500	28/06/2018	8.5	26.6	19	29.1
613500	29/06/2018	11	23.6	18.5	28
613500	30/06/2018	8.3	23.4	16.9	23.8
613500	01/07/2018	10.2	22.8	16.7	21.4
613500	02/07/2018	9.1	23.2	17.6	29.3
613500	03/07/2018	10.3	24.5	18.1	29.8
613500	04/07/2018	9.7	21.2	16.6	29.1
613500	05/07/2018	14.6	19.6	16.4	8.8
613500	06/07/2018	13	21.8	17.1	27.9
613500	07/07/2018	12.2	24.3	17.7	27.6
613500	08/07/2018	14.5	24.2	18.9	23
613500	09/07/2018	12.6	19.8	16.1	24
613500	10/07/2018	10.6	20	15.7	16.5
613500	11/07/2018	15.3	26	19.6	21.8
613500	12/07/2018	14.4	28.2	21.9	26.7
613500	13/07/2018	15.3	26.7	20.5	25.3
613500	14/07/2018	13.6	20.4	16	14.2
613500	15/07/2018	11.6	24.6	18.5	26.5
613500	16/07/2018	10.9	28.4	21	25.6
613500	17/07/2018	13.7	29.1	21.7	16.8
613500	18/07/2018	17.3	25.2	20.5	20.6
613500	19/07/2018	13.9	23.2	18.8	27.9
613500	20/07/2018	11.7	24.2	18.3	27.6
613500	21/07/2018	10	26.2	19.4	26.7
613500	22/07/2018	15.6	27	21.3	21.5
613500	23/07/2018	14.4	26.7	20.7	23.9
613500	24/07/2018	16.8	29.4	23.2	26.2
613500	25/07/2018	15.5	32	24.8	24.8
613500	26/07/2018	19.3	31.1	25.3	24.9
613500	27/07/2018	17.2	30.2	24.1	25.7
613500	28/07/2018	18.3	29.4	23.4	23.5
613500	29/07/2018	0	24.4	19.8	24.5
613500	30/07/2018	19.6	29.6	24.4	17.3
613500	31/07/2018	20.2	31.7	25.5	20.6
613500	01/08/2018	16.4	25.8	21.4	20.5
613500	02/08/2018	12.7	26.3	20.7	24.5
613500	03/08/2018	14.3	28.4	22.2	24.3
613500	04/08/2018	17.4	25.6	21.4	20
613500	05/08/2018	17.1	23	19.4	15.7
613500	06/08/2018	15.6	25.1	19.8	21
613500	07/08/2018	13.8	31.1	23.3	23.3
613500	08/08/2018	19.6	30.1	25	17.3
613500	09/08/2018	14.9	26.5	21.1	20.7
613500	10/08/2018	13.8	21.8	19.1	21.4
613500	11/08/2018	13.1	19	15.8	12.9
