ScreenName	Uinsulation
LS_Obscura_9950_FR_W	6.4
LS_Obscura_9950_FR_W	12.8
LS_Obscura_9950_FR_W	25.6
LS_Obscura_10075_FR_AB_BW	0.05
LS_Obscura_10075_FR_AB_BW	0.1
LS_Obscura_10075_FR_AB_BW	0.2
LS_Obscura_10075_FR_AB_BW	0.4
LS_Obscura_10075_FR_AB_BW	0.8
LS_Obscura_10075_FR_AB_BW	1.6
LS_Obscura_10075_FR_AB_BW	3.2
LS_Obscura_10075_FR_AB_BW	6.4
LS_Obscura_10075_FR_AB_BW	12.8
LS_Obscura_10075_FR_AB_BW	25.6
LS_Obscura_10075_FR_AB_B	0.05
LS_Obscura_10075_FR_AB_B	0.1
LS_Obscura_10075_FR_AB_B	0.2
LS_Obscura_10075_FR_AB_B	0.4
LS_Obscura_10075_FR_AB_B	0.8
LS_Obscura_10075_FR_AB_B	1.6
LS_Obscura_10075_FR_AB_B	3.2
LS_Obscura_10075_FR_AB_B	6.4
LS_Obscura_10075_FR_AB_B	12.8
LS_Obscura_10075_FR_AB_B	25.6
LS_Obscura_10070_R_FR_W	0.05
LS_Obscura_10070_R_FR_W	0.1
LS_Obscura_10070_R_FR_W	0.2
LS_Obscura_10070_R_FR_W	0.4
LS_Obscura_10070_R_FR_W	0.8
LS_Obscura_10070_R_FR_W	1.6
LS_Obscura_10070_R_FR_W	3.2
LS_Obscura_10070_R_FR_W	6.4
LS_Obscura_10070_R_FR_W	12.8
LS_Obscura_10070_R_FR_W	25.6
LS_Obscura_10070_FR_WB_BW	0.05
LS_Obscura_10070_FR_WB_BW	0.1
LS_Obscura_10070_FR_WB_BW	0.2
LS_Obscura_10070_FR_WB_BW	0.4
LS_Obscura_10070_FR_WB_BW	0.8
LS_Obscura_10070_FR_WB_BW	1.6
LS_Obscura_10070_FR_WB_BW	3.2
LS_Obscura_10070_FR_WB_BW	6.4
LS_Obscura_10070_FR_WB_BW	12.8
LS_Obscura_10070_FR_WB_BW	25.6
LS_Obscura_10070_FR_WB_B	0.05
LS_Obscura_10070_FR_WB_B	0.1
LS_Obscura_10070_FR_WB_B	0.2
LS_Obscura_10070_FR_WB_B	0.4
LS_Obscura_10070_FR_WB_B	0.8
LS_Obscura_10070_FR_WB_B	1.6
LS_Obscura_10070_FR_WB_B	3.2
LS_Obscura_10070_FR_WB_B	6.4
LS_Obscura_10070_FR_WB_B	12.8
LS_Obscura_10070_FR_WB_B	25.6
LS_Luxous_1547_D_FR	0.05
LS_Luxous_1547_D_FR	0.1
LS_Luxous_1547_D_FR	0.2
LS_Luxous_1547_D_FR	0.4
LS_Luxous_1547_D_FR	0.8
LS_Luxous_1547_D_FR	1.6
LS_Luxous_1547_D_FR	3.2
LS_Luxous_1547_D_FR	6.4
LS_Luxous_1547_D_FR	12.8
LS_Luxous_1547_D_FR	25.6
LS_Luxous_1347_FR	0.05
LS_Luxous_1347_FR	0.1
LS_Luxous_1347_FR	0.2
LS_Luxous_1347_FR	0.4
LS_Luxous_1347_FR	0.8
LS_Luxous_1347_FR	1.6
LS_Luxous_1347_FR	3.2
LS_Luxous_1347_FR	6.4
LS_Luxous_1347_FR	12.8
LS_Luxous_1347_FR	25.6
LS_Harmony_7445_R_FR	0.05
LS_Harmony_7445_R_FR	0.1
LS_Harmony_7445_R_FR	0.2
LS_Harmony_7445_R_FR	0.4
LS_Harmony_7445_R_FR	0.8
LS_Harmony_7445_R_FR	1.6
LS_Harmony_7445_R_FR	3.2
LS_Harmony_7445_R_FR	6.4
LS_Harmony_7445_R_FR	12.8
LS_Harmony_7445_R_FR	25.6
LS_Harmony_7247_FR	0.05
LS_Harmony_7247_FR	0.1
LS_Harmony_7247_FR	0.2
LS_Harmony_7247_FR	0.4
LS_Harmony_7247_FR	0.8
LS_Harmony_7247_FR	1.6
LS_Harmony_7247_FR	3.2
LS_Harmony_7247_FR	6.4
LS_Harmony_7247_FR	12.8
LS_Harmony_7247_FR	25.6
LS_Harmony_6147_FR	0.05
LS_Harmony_6147_FR	0.1
LS_Harmony_6147_FR	0.2
LS_Harmony_6147_FR	0.4
LS_Harmony_6147_FR	0.8
LS_Harmony_6147_FR	1.6
LS_Harmony_6147_FR	3.2
LS_Harmony_6147_FR	6.4
LS_Harmony_6147_FR	12.8
LS_Harmony_6147_FR	25.6
LS_Harmony_6020_O_E_FR	0.05
LS_Harmony_6020_O_E_FR	0.1
LS_Harmony_6020_O_E_FR	0.2
LS_Harmony_6020_O_E_FR	0.4
LS_Harmony_6020_O_E_FR	0.8
LS_Harmony_6020_O_E_FR	1.6
LS_Harmony_6020_O_E_FR	3.2
LS_Harmony_6020_O_E_FR	6.4
LS_Harmony_6020_O_E_FR	12.8
LS_Harmony_6020_O_E_FR	25.6
LS_Harmony_5220_O_FR	0.05
LS_Harmony_5220_O_FR	0.1
LS_Harmony_5220_O_FR	0.2
LS_Harmony_5220_O_FR	0.4
LS_Harmony_5220_O_FR	0.8
LS_Harmony_5220_O_FR	1.6
LS_Harmony_5220_O_FR	3.2
LS_Harmony_5220_O_FR	6.4
LS_Harmony_5220_O_FR	12.8
LS_Harmony_5220_O_FR	25.6
LS_Harmony_5047_FR	0.05
LS_Harmony_5047_FR	0.1
LS_Harmony_5047_FR	0.2
LS_Harmony_5047_FR	0.4
LS_Harmony_5047_FR	0.8
LS_Harmony_5047_FR	1.6
LS_Harmony_5047_FR	3.2
LS_Harmony_5047_FR	6.4
LS_Harmony_5047_FR	12.8
LS_Harmony_5047_FR	25.6
LS_Harmony_5045	0.05
LS_Harmony_5045	0.1
LS_Harmony_5045	0.2
LS_Harmony_5045	0.4
LS_Harmony_5045	0.8
