ScreenName	Uinsulation	heatingCost	lampCost	co2Cost	transpiration	condensation	ventedWater	screen1	screen2	screen3	light1	light2	light3	energySaving	iteration	step
character	character	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XLS_Obscura_Revolux_AB_BW	0.2	0.516794	0.645076	29.604	1870.11	-729.701	-1063.63	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	34	175200
XLS_Obscura_Revolux_AB_BW	0.4	0.52828	0.645076	28.9297	1855.87	-730.699	-1047.87	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	35	175200
XLS_Obscura_Revolux_AB_BW	0.8	0.550213	0.645076	27.9006	1831.24	-730.223	-1022.85	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	36	175200
XLS_Obscura_Revolux_AB_BW	1.6	0.588328	0.645076	26.5125	1795.75	-728.224	-988.156	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	37	175200
XLS_Obscura_Revolux_AB_BW	3.2	0.645475	0.645076	25.0321	1753.86	-723.727	-949.385	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	38	175200
XLS_Obscura_Revolux_AB_BW	6.4	0.714255	0.645076	23.8077	1713.13	-716.131	-914.968	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	39	175200
XLS_Obscura_Revolux_AB_BW	12.8	0.783738	0.645076	23.1475	1686.19	-706.97	-896.387	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	40	175200
XLS_Obscura_Revolux_AB_BW	25.6	0.841422	0.645076	22.982	1674.5	-698.272	-892.959	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.75	41	175200
SLS_10_Ultra_plus	0.05	0.535991	0.645076	28.4287	1720.17	-632.305	-1008.22	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	42	175200
SLS_10_Ultra_plus	0.1	0.539599	0.645076	28.2877	1719.79	-635.545	-1005.89	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	43	175200
SLS_10_Ultra_plus	0.2	0.546043	0.645076	28.0015	1721.9	-641.999	-1001.36	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	44	175200
SLS_10_Ultra_plus	0.4	0.558223	0.645076	27.5104	1725.14	-652.798	-992.872	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	45	175200
SLS_10_Ultra_plus	0.8	0.580531	0.645076	26.7496	1727.73	-669.407	-978.779	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	46	175200
SLS_10_Ultra_plus	1.6	0.617677	0.645076	25.7051	1728.53	-690.733	-957.604	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	47	175200
SLS_10_Ultra_plus	3.2	0.672943	0.645076	24.5537	1719.75	-707.132	-931.436	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	48	175200
SLS_10_Ultra_plus	6.4	0.7437	0.645076	23.6444	1701.53	-710.236	-909.062	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	49	175200
SLS_10_Ultra_plus	12.8	0.816234	0.645076	23.1911	1686.94	-705.557	-898.438	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	50	175200
SLS_10_Ultra_plus	25.6	0.87732	0.645076	23.1767	1683.86	-699.745	-900.644	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.43	51	175200
LS_Tempa_7265_D_R_AW	0.05	0.546454	0.645076	27.081	1778.27	-717.678	-982.629	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	52	175200
LS_Tempa_7265_D_R_AW	0.1	0.550127	0.645076	26.9552	1776.58	-718.472	-979.965	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	53	175200
LS_Tempa_7265_D_R_AW	0.2	0.55732	0.645076	26.709	1773.02	-719.602	-974.928	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	54	175200
LS_Tempa_7265_D_R_AW	0.4	0.571463	0.645076	26.3033	1766.21	-720.644	-966.536	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	55	175200
LS_Tempa_7265_D_R_AW	0.8	0.596962	0.645076	25.6786	1752.93	-720.574	-952.527	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	56	175200
LS_Tempa_7265_D_R_AW	1.6	0.639298	0.645076	24.8253	1732.72	-718.811	-933.104	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	57	175200
LS_Tempa_7265_D_R_AW	3.2	0.699001	0.645076	23.884	1707.15	-715.115	-910.13	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	58	175200
LS_Tempa_7265_D_R_AW	6.4	0.770252	0.645076	23.1654	1683.53	-708.882	-891.881	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	59	175200
LS_Tempa_7265_D_R_AW	12.8	0.839794	0.645076	22.8273	1668.63	-701.274	-883.949	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	60	175200
