ImmigrantFecundity	AdultReproduction
0.1	1
0.1	1.29154966501488
0.1	1.66810053720006
0.1	2.15443469003188
0.1	2.78255940220712
0.1	3.59381366380463
0.1	4.64158883361278
0.1	5.99484250318941
0.1	7.74263682681127
0.1	10
0.129154966501488	1
0.129154966501488	1.29154966501488
0.129154966501488	1.66810053720006
0.129154966501488	2.15443469003188
0.129154966501488	2.78255940220712
0.129154966501488	3.59381366380463
0.129154966501488	4.64158883361278
0.129154966501488	5.99484250318941
0.129154966501488	7.74263682681127
0.129154966501488	10
0.166810053720006	1
0.166810053720006	1.29154966501488
0.166810053720006	1.66810053720006
0.166810053720006	2.15443469003188
0.166810053720006	2.78255940220712
0.166810053720006	3.59381366380463
0.166810053720006	4.64158883361278
0.166810053720006	5.99484250318941
0.166810053720006	7.74263682681127
0.166810053720006	10
0.215443469003188	1
0.215443469003188	1.29154966501488
0.215443469003188	1.66810053720006
0.215443469003188	2.15443469003188
0.215443469003188	2.78255940220712
0.215443469003188	3.59381366380463
0.215443469003188	4.64158883361278
0.215443469003188	5.99484250318941
0.215443469003188	7.74263682681127
0.215443469003188	10
0.278255940220712	1
0.278255940220712	1.29154966501488
0.278255940220712	1.66810053720006
0.278255940220712	2.15443469003188
0.278255940220712	2.78255940220712
0.278255940220712	3.59381366380463
0.278255940220712	4.64158883361278
0.278255940220712	5.99484250318941
0.278255940220712	7.74263682681127
0.278255940220712	10
0.359381366380463	1
0.359381366380463	1.29154966501488
0.359381366380463	1.66810053720006
0.359381366380463	2.15443469003188
0.359381366380463	2.78255940220712
0.359381366380463	3.59381366380463
0.359381366380463	4.64158883361278
0.359381366380463	5.99484250318941
0.359381366380463	7.74263682681127
0.359381366380463	10
0.464158883361278	1
0.464158883361278	1.29154966501488
0.464158883361278	1.66810053720006
0.464158883361278	2.15443469003188
0.464158883361278	2.78255940220712
0.464158883361278	3.59381366380463
0.464158883361278	4.64158883361278
0.464158883361278	5.99484250318941
0.464158883361278	7.74263682681127
0.464158883361278	10
0.599484250318941	1
0.599484250318941	1.29154966501488
0.599484250318941	1.66810053720006
0.599484250318941	2.15443469003188
0.599484250318941	2.78255940220712
0.599484250318941	3.59381366380463
0.599484250318941	4.64158883361278
0.599484250318941	5.99484250318941
0.599484250318941	7.74263682681127
0.599484250318941	10
0.774263682681127	1
0.774263682681127	1.29154966501488
0.774263682681127	1.66810053720006
0.774263682681127	2.15443469003188
0.774263682681127	2.78255940220712
0.774263682681127	3.59381366380463
0.774263682681127	4.64158883361278
0.774263682681127	5.99484250318941
0.774263682681127	7.74263682681127
0.774263682681127	10
1	1
1	1.29154966501488
1	1.66810053720006
1	2.15443469003188
1	2.78255940220712
1	3.59381366380463
1	4.64158883361278
1	5.99484250318941
1	7.74263682681127
1	10
