iteration.end	fileName.end	atEnd.end	density.thresholdGen.end	frequencies.thresholdGen.end	K_maxValue.end	coverage_maxValue.end	proportion_bounds_logP.end	q_bounds_logP.end	maxMortality.end	slope.end	resistanceGain.end	R.end	fitnessPenalty.end
47	scenarios.txt	FALSE	12	30	19971	0.396016	-4.70475	-5.51378	0.944996	7.62792	0.225963	49.9459	0.274209
48	scenarios.txt	FALSE	30	30	11619.3	0.539021	-2.14694	-4.02104	0.932419	2.01355	0.500302	2.27659	0.100805
49	scenarios.txt	FALSE	30	30	13099.6	0.337977	-2.32361	-5.36261	0.917138	6.08116	0.1998	20.3865	0.360833
50	scenarios.txt	FALSE	30	26	12154.1	0.888563	-3.83608	-4.78068	0.973769	3.34563	0.502589	11.7387	0.289473
51	scenarios.txt	FALSE	30	30	19051.3	0.862435	-4.15955	-5.84157	0.95751	3.4706	0.150923	10.1745	0.235572
52	scenarios.txt	FALSE	7	30	19063.6	0.80416	-2.66052	-5.24713	0.937699	8.80557	0.149756	37.6296	0.316585
53	scenarios.txt	FALSE	30	13	13434.5	0.584922	-2.85042	-5.33601	0.93959	9.19604	0.557196	12.459	0.362275
54	scenarios.txt	FALSE	30	7	13296.9	0.608853	-4.73861	-4.13279	0.982387	6.81529	0.756724	39.946	0.39527
55	scenarios.txt	FALSE	22	30	14643.6	0.112991	-5.63297	-4.94611	0.957304	7.42631	0.794936	29.9431	0.226382
56	scenarios.txt	FALSE	30	19	19176.2	0.631675	-3.50823	-5.6568	0.921801	7.3849	0.335038	14.5394	0.0763335
57	scenarios.txt	FALSE	30	18	10506.9	0.5529	-5.53151	-4.66703	0.901641	4.27813	0.721407	44.1266	0.163017
58	scenarios.txt	FALSE	30	25	10634.6	0.534282	-3.31703	-5.97299	0.988475	4.66839	0.258422	26.1424	0.0640395
59	scenarios.txt	FALSE	30	30	19135	0.628665	-5.84926	-4.1146	0.925748	2.07239	0.148871	10.2853	0.311612
60	scenarios.txt	FALSE	5	30	19043.7	0.189087	-5.05698	-4.89981	0.929538	1.66274	0.278512	26.6869	0.379148
61	scenarios.txt	FALSE	13	8	12312.4	0.713409	-3.8063	-5.53877	0.984124	8.09039	0.703339	41.4989	0.0187434
62	scenarios.txt	FALSE	11	25	19073	0.646089	-4.10412	-4.31481	0.964644	3.6755	0.357939	47.5846	0.0894473
63	scenarios.txt	FALSE	30	13	12910.9	0.887758	-4.84928	-4.34537	0.966033	7.00775	0.145478	48.7551	0.0997249
