Date	Time	IndoorsTemperature	IndoorsRH	IndoorsCo2	OutdoorsTemperature	OutdoorsIrradiation	OutdoorsWindSpeed	GrowthLightIntensity	ScreenEffect1	ScreenEffect2	ScreenNetEffect1	ScreenNetEffect2	VentEffect1	VentEffect2
1/8/2019	0:21:56	20.5381259918213	74.667236328125	455.573333740234	15.9608745574951	0	3.84613037109375	0	0	0	0	0	0	0
1/8/2019	0:51:56	20.40771484375	74.8902893066406	459.967956542969	15.6818733215332	0	0.000985968741588295	0	0	0	0	0	0	10.0200004577637
1/8/2019	1:21:56	20.6715126037598	73.2068252563477	465.827423095703	15.4958715438843	0	3.68319881260959e-08	0	0	0	0	0	0	10.0200004577637
1/8/2019	1:51:56	20.5873584747314	72.9501724243164	473.151763916016	15.402871131897	0	0.000771633349359035	0	0	0	0	0	0	10.0200004577637
1/8/2019	2:21:56	20.5958404541016	72.616828918457	464.362548828125	15.2168703079224	0	4.02663467014008e-08	0	0	0	0	0	0	10.0200004577637
1/8/2019	2:51:56	20.6801013946533	71.9339294433594	479.011199951172	15.402871131897	0	1.50419498905208e-12	0	0	0	0	0	0	10.0200004577637
1/8/2019	3:21:56	20.5208568572998	71.9998931884766	470.222045898438	15.2168703079224	0	1.53169259019571e-16	0	0	0	0	0	0	10.0200004577637
1/8/2019	3:51:56	20.444465637207	71.7754669189453	473.151763916016	15.0308694839478	0	0	0	0	0	0	0	0	10.0200004577637
1/8/2019	4:21:56	20.5676822662354	71.436149597168	489.265289306641	15.3098707199097	0	0	0	0	0	0	0	0	10.0200004577637
1/8/2019	4:51:56	20.4143962860107	71.550910949707	470.222045898438	15.1238698959351	0	0	0	0	0	0	0	0	10.0200004577637
1/8/2019	5:21:56	20.8948173522949	69.6082382202148	487.800415039062	15.0308694839478	0	0	0	0	0	0	0	0	10.0200004577637
1/8/2019	5:51:56	20.9270935058594	68.4077301025391	486.335571289062	14.6588668823242	0	0	0	0	0	0	0	10.0200004577637	0
1/8/2019	6:21:56	20.1995964050293	70.5052490234375	481.940948486328	15.0308694839478	5.70501565933228	0	0	0.600390014648438	0.879850006103516	0.390253509521484	0.175970001220703	10.0200004577637	0
1/8/2019	6:51:56	20.223274230957	74.5690078735352	473.151763916016	15.2168703079224	14.0124855041504	0	0	0	0	0	0	10.0200004577637	0
1/8/2019	7:21:56	20.5802345275879	75.9863891601562	452.643615722656	15.5888719558716	24.2040271759033	0	0	0	0	0	0	10.0200004577637	0
1/8/2019	7:51:56	21.5560894012451	74.5623397827148	455.573333740234	15.7748737335205	97.1909713745117	0	0	0	0	0	0	10.0200004577637	0
1/8/2019	8:21:56	22.4268569946289	73.1962509155273	442.389556884766	16.0597496032715	53.7711219787598	0	0	0	0	0	0	10.0200004577637	0
1/8/2019	8:51:56	22.9089393615723	73.8781051635742	455.573333740234	16.7164363861084	104.809463500977	0	0	0	0	0	0	10.0200004577637	0
1/8/2019	9:21:56	24.5608787536621	68.0940246582031	420.416564941406	18.0298080444336	227.472244262695	0	0	0	0	0	0	20.9400005340576	12.960000038147
1/8/2019	9:51:56	24.8411636352539	64.6020660400391	404.303070068359	19.6246185302734	327.890411376953	0	0	0	0.880210037231445	0	0.176042007446289	37.9199981689453	29.8799991607666
1/8/2019	10:21:56	23.5938358306885	63.2529067993164	411.627380371094	19.9998683929443	256.224639892578	0	0	0	0	0	0	51.1800003051758	43.1399993896484
1/8/2019	10:51:56	23.6877861022949	61.0641670227051	404.303070068359	20.4689292907715	204.668258666992	0	0	0	0	0	0	53.1599998474121	45
1/8/2019	11:21:56	22.9214782714844	64.223503112793	418.951721191406	19.9998683929443	227.248565673828	0	0	0	0	0	0	46.560001373291	38.5200004577637
1/8/2019	11:51:56	24.3540725708008	61.1149253845215	408.697631835938	20.5637760162354	327.37890625	0.218422323465347	0	0	0.880210037231445	0	0.176042007446289	42.6599998474121	50.6399993896484
1/8/2019	12:21:56	24.314962387085	58.4506301879883	423.346313476562	19.9998683929443	269.387817382812	3.31184339523315	0	0	0	0	0	45	90.9599990844727
1/8/2019	12:51:56	23.3296794891357	61.1212043762207	411.627380371094	19.5308055877686	224.818405151367	3.14271593093872	0	0	0	0	0	45	83.6399993896484
1/8/2019	13:21:56	24.8391609191895	57.4811325073242	418.951721191406	21.0511531829834	349.474395751953	0.137639299035072	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
1/8/2019	13:51:56	26.130786895752	51.8012657165527	407.232788085938	21.9284324645996	331.765289306641	0.163000032305717	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
1/8/2019	14:21:56	23.5640602111816	57.3971366882324	423.346313476562	20.2813053131104	146.556976318359	0.0827574133872986	0	0	0	0	0	45	95.0400009155273
1/8/2019	14:51:56	21.9041290283203	63.461498260498	421.881439208984	19.8122425079346	45.1449356079102	1.32595992088318	0	0	0	0	0	9.96000003814697	18.2399997711182
1/8/2019	15:21:56	22.8035068511963	69.749153137207	423.346313476562	18.9679317474365	84.6207885742188	2.55160641670227	0	0	0	0	0	2.51999998092651	10.5
1/8/2019	15:51:56	24.1434211730957	66.5132675170898	420.416564941406	19.7184314727783	187.814605712891	2.56428289413452	0	0	0	0	0	9.23999977111816	18.2999992370605
1/8/2019	16:21:56	22.8051795959473	62.2494850158691	418.951721191406	19.4369926452637	71.4310836791992	4.15669393539429	0	0	0	0	0	17.5200004577637	26.7600002288818
1/8/2019	16:51:56	22.5764904022217	66.8704376220703	413.092224121094	19.2493686676025	55.7676162719727	0.0220679678022861	0	0	0	0	0	8.64000034332275	17.1599998474121
