DateTime	Day	Hour	IndoorsTemperature	IndoorsLightIntensity	IndoorsRH	IndoorsCo2	OutdoorsTemperature	OutdoorsIrradiation	OutdoorsCo2	OutdoorsWindSpeed	OutdoorsWindDirection	GrowthLightPowerUsage	GrowthLightIntensity	ScreenEffect1	ScreenEffect2	ScreenNetEffect1	ScreenNetEffect2
2019-08-01 00:21:56	213	0.365644444444444	20.5381259918213	7.55883266779177e-14	74.667236328125	455.573333740234	15.9608745574951	0	5000	3.84613037109375	10.05104637146	0	0	0	0	0	0
2019-08-02 00:21:56	214	0.365758333333333	20.7342624664307	3.69821712722885e-13	74.0151062011719	458.503112792969	16.1535625457764	0	5000	0	2.28099346160889	0	0	1	1	0.65	0.2
2019-08-03 00:21:57	215	0.365883333333333	20.5379028320312	9.59176280881848e-13	64.3830795288086	477.546356201172	13.6358613967896	0	5000	0	4.30089569091797	0	0	1	1	0.65	0.2
2019-08-04 00:21:57	216	0.366022222222222	20.3149471282959	9.22085015763949e-13	66.9418106079102	443.854400634766	16.0597496032715	0	5000	3.63558569915767e-07	33.8076858520508	0	0	1	1	0.65	0.2
2019-08-05 00:21:58	217	0.366144444444444	20.8565101623535	1.11391834477096e-13	65.3995361328125	454.108489990234	16.3411865234375	0	5000	1.39555742182577e-17	31.9649200439453	0	0	1	1	0.65	0.2
2019-08-06 00:21:58	218	0.366258333333333	21.0482711791992	1.64794406792227e-13	71.1994476318359	480.47607421875	16.4349994659424	0	5000	0.0459779053926468	17.593334197998	0	0	1	1	0.65	0.2
2019-08-07 00:21:59	219	0.366394444444444	20.7999458312988	1.3689345101551e-13	66.1130218505859	458.503112792969	15.3098707199097	0	5000	0.0114678656682372	24.9608402252197	0	0	1	1	0.65	0.2
2019-08-08 00:21:59	220	0.366533333333333	0	2.2017512477519e-13	0	0	14.3798656463623	0	5000	1.87433435801902e-16	22.0576400756836	0	0	0	0	0	0
2019-08-09 00:21:59	221	0.366652777777778	20.6855602264404	6.94669341716686e-14	64.9999847412109	449.713897705078	15.1238698959351	0	5000	0	51.4569282531738	0	0	1	1	0.65	0.2
2019-08-10 00:22:00	222	0.366775	20.5681686401367	2.72842097214158e-15	71.6605377197266	446.7841796875	17.8421840667725	0	5000	6.69673681259155	27.9709148406982	0	0	1	1	0.65	0.2
2019-08-11 00:22:00	223	0.366905555555556	20.829381942749	1.02752187014748e-14	67.0796127319336	435.065246582031	18.3112449645996	0	5000	7.83894872665405	43.4069061279297	0	0	1	1	0.65	0.2
2019-08-12 00:22:01	224	0.367036111111111	20.6101188659668	7.89338793065226e-15	67.4626007080078	451.178771972656	17.0916862487793	0	5000	4.59689140319824	64.9762649536133	0	0	1	1	0.65	0.2
2019-08-13 00:22:01	225	0.367152777777778	20.4999294281006	9.64790499959544e-15	61.6214179992676	452.643615722656	12.6128549575806	0	5000	0	81.9289321899414	0	0	1	1	0.65	0.2
2019-08-14 00:22:02	226	0.367288888888889	20.8159027099609	3.91896581240217e-15	56.9007415771484	480.47607421875	11.0994701385498	0	5000	0.290900737047195	89.9629592895508	0	0	1	1	0.65	0.2
2019-08-15 00:22:02	227	0.367416666666667	20.6368541717529	2.37834467702621e-15	63.6443672180176	465.827423095703	14.3798656463623	0	5000	2.01240812208736e-11	91.0650100708008	0	0	1	1	0.65	0.2
2019-08-16 00:22:03	228	0.367594444444444	20.7086906433105	1.58692568698016e-15	70.4406661987305	442.389556884766	16.0597496032715	0	5000	2.07775783538818	63.5368270874023	0	0	1	1	0.65	0.2
2019-08-17 00:22:03	229	0.367680555555556	21.1743278503418	2.28798602918558e-15	64.6455459594727	462.897705078125	14.8448677062988	0	5000	3.71570754051208	50.8373756408691	0	0	1	1	0.65	0.2
2019-08-18 00:22:04	230	0.3678	21.3675022125244	9.0661817343713e-16	64.531494140625	461.432830810547	14.3798656463623	0	5000	0	36.1833000183105	0	0	1	1	0.65	0.2
2019-08-19 00:22:04	231	0.367930555555556	20.9501647949219	2.08200830254609e-15	65.2788009643555	459.967956542969	14.6588668823242	0	5000	0.276172310113907	32.0657501220703	0	0	1	1	0.65	0.2
2019-08-20 00:22:05	232	0.368061111111111	20.7559013366699	7.45260241267079e-16	65.7184982299805	461.432830810547	14.5658664703369	0	5000	2.80615019798279	34.2438850402832	0	0	1	1	0.65	0.2
2019-08-21 00:22:05	233	0.368236111111111	20.7349472045898	7.66499619551005e-16	60.6767654418945	452.643615722656	12.426854133606	0	5000	1.48983629828846e-15	50.8442344665527	0	0	1	1	0.65	0.2
2019-08-22 00:22:05	234	0.368313888888889	20.7528228759766	1.52460593139415e-15	59.3153038024902	490.730133056641	11.6699600219727	0	5000	0	42.9404029846191	0	0	1	1	0.65	0.2
2019-08-23 00:22:06	235	0.368452777777778	20.9070129394531	8.58694421077809e-16	62.8584442138672	476.081481933594	14.7518672943115	0	5000	0.368021994829178	41.675479888916	0	0	1	1	0.65	0.2
2019-08-24 00:22:06	236	0.368580555555556	20.6894340515137	1.43413342247308e-15	65.5552520751953	457.038238525391	15.2168703079224	0	5000	0	66.7804718017578	0	0	1	1	0.65	0.2
2019-08-25 00:22:07	237	0.368697222222222	20.80419921875	1.38832812399939e-15	66.0446701049805	459.967956542969	16.4349994659424	0	5000	0.0497601516544819	15.8600292205811	0	0	1	1	0.65	0.2
2019-08-26 00:22:07	238	0.368816666666667	21.9059658050537	4.87329815643943e-16	63.7263526916504	465.827423095703	19.8122425079346	0	5000	0.244738504290581	18.1297912597656	0	0	1	1	0.65	0.2
