iteration	dateTime	energyFlux_0	energyFlux_1	temperature.value	rh	co2.value	powerUsage	netGrowthRate
1	1	2001-05-09 00:00:00	0	0	20	70	400	0	0
2	1	2001-05-09 00:01:00	0	0	20	70	400	0	0
3	1	2001-05-09 00:02:00	0	0	20	70	409.076	0	0
4	1	2001-05-09 00:03:00	0	0	20	70	418.038	0	0
5	1	2001-05-09 00:04:00	0	0	20	70	426.89	0	0
6	1	2001-05-09 00:05:00	0	0	20	70	435.631	0	0
7	1	2001-05-09 00:06:00	0	0	20	70	444.264	0	0
8	1	2001-05-09 00:07:00	0	0	20	70	452.79	0	0
9	1	2001-05-09 00:08:00	0	0	20	70	461.21	0	0
10	1	2001-05-09 00:09:00	0	0	20	70	469.525	0	0
11	1	2001-05-09 00:10:00	0	0	20	70	477.737	0	0
12	1	2001-05-09 00:11:00	0	0	19.1165	73.7015	485.846	0	0
13	1	2001-05-09 00:12:00	0	0	18.3463	77.1059	493.856	0	0
14	1	2001-05-09 00:13:00	0	0	17.6593	80.2893	501.765	0	0
15	1	2001-05-09 00:14:00	0	0	17.0537	83.2149	509.577	0	0
16	1	2001-05-09 00:15:00	1.62288	3.40221	16.5953	85.5053	517.291	0	0
17	1	2001-05-09 00:16:00	6.87716	13.5456	16.3781	86.5993	524.909	0	0
18	1	2001-05-09 00:17:00	15.6221	29.5338	16.4695	86.0948	532.433	0	0
19	1	2001-05-09 00:18:00	26.6283	48.911	16.8844	83.9482	539.864	0	0
20	1	2001-05-09 00:19:00	31.8352	57.8918	17.3959	81.392	547.202	0	0
21	1	2001-05-09 00:20:00	31.3868	57.1222	17.8169	79.3509	554.449	0	0
22	1	2001-05-09 00:21:00	31.0184	56.4895	18.1592	77.7312	561.606	0	0
23	1	2001-05-09 00:22:00	30.7195	55.9756	18.4364	76.444	568.674	0	0
24	1	2001-05-09 00:23:00	30.4776	55.5598	18.666	75.3939	575.654	0	0
25	1	2001-05-09 00:24:00	30.2776	55.2155	18.8659	74.4917	582.548	0	0
26	1	2001-05-09 00:25:00	30.1035	54.916	19.04	73.715	589.355	0	0
27	1	2001-05-09 00:26:00	29.9521	54.6553	19.1916	73.0451	596.079	0	0
28	1	2001-05-09 00:27:00	29.8204	54.4284	19.3234	72.4671	602.719	0	0
29	1	2001-05-09 00:28:00	29.7058	54.2311	19.438	71.9682	609.276	0	0
30	1	2001-05-09 00:29:00	29.6063	54.0596	19.5375	71.5376	615.752	0	0
31	1	2001-05-09 00:30:00	29.52	53.9109	19.6237	71.166	622.147	0	0
32	1	2001-05-09 00:31:00	29.4452	53.782	19.6983	70.8455	628.463	0	0
33	1	2001-05-09 00:32:00	29.3805	53.6704	19.7628	70.5692	634.701	0	0
34	1	2001-05-09 00:33:00	29.3246	53.5739	19.8185	70.3313	640.861	0	0
35	1	2001-05-09 00:34:00	29.2763	53.4908	19.8664	70.1266	646.944	0	0
36	1	2001-05-09 00:35:00	29.2348	53.4191	19.9076	69.9508	652.952	0	0
37	1	2001-05-09 00:36:00	29.1991	53.3576	19.943	69.7998	649.81	0	0
38	1	2001-05-09 00:37:00	29.1685	53.3048	19.9732	69.6699	655.782	0	0
39	1	2001-05-09 00:38:00	29.1423	53.2595	19.9992	69.5581	652.605	0	0
40	1	2001-05-09 00:39:00	29.1198	53.2208	20.0213	69.4617	649.467	0	0
41	1	2001-05-09 00:40:00	29.1007	53.1877	20.0402	69.3788	655.443	0	0
42	1	2001-05-09 00:41:00	29.0843	53.1595	20.0563	69.3073	652.27	0	0
43	1	2001-05-09 00:42:00	29.0703	53.1354	20.07	69.2456	649.137	0	0
44	1	2001-05-09 00:43:00	29.0585	53.115	20.0817	69.1925	655.117	0	0
45	1	2001-05-09 00:44:00	29.0484	53.0976	20.0915	69.1467	651.948	0	0
46	1	2001-05-09 00:45:00	29.0399	53.0829	20.0998	69.1071	648.818	0	0
47	1	2001-05-09 00:46:00	29.0327	53.0705	20.1068	69.0729	654.803	0	0
48	1	2001-05-09 00:47:00	29.0267	53.0601	20.1126	69.0434	651.638	0	0
49	1	2001-05-09 00:48:00	29.0217	53.0514	20.1174	69.0178	648.512	0	0
50	1	2001-05-09 00:49:00	29.0175	53.0442	20.1214	68.9956	654.5	0	0
51	1	2001-05-09 00:50:00	29.014	53.0382	20.1247	68.9764	651.339	0	0
52	1	2001-05-09 00:51:00	29.0112	53.0334	20.1273	68.9597	648.217	0	0
53	1	2001-05-09 00:52:00	29.0089	53.0294	20.1294	68.9451	654.209	0	0
54	1	2001-05-09 00:53:00	29.0071	53.0262	20.1311	68.9324	651.051	0	0
55	1	2001-05-09 00:54:00	29.0056	53.0238	20.1324	68.9213	647.932	0	0
56	1	2001-05-09 00:55:00	29.0045	53.0219	20.1333	68.9115	653.928	0	0
57	1	2001-05-09 00:56:00	29.0037	53.0205	20.1339	68.9028	650.774	0	0
58	1	2001-05-09 00:57:00	29.0032	53.0196	20.1343	68.8952	647.659	0	0
59	1	2001-05-09 00:58:00	29.0028	53.019	20.1345	68.8884	653.658	0	0
60	1	2001-05-09 00:59:00	29.0027	53.0187	20.1345	68.8823	650.507	0	0
61	1	2001-05-09 01:00:00	29.0027	53.0187	20.1343	68.8768	647.395	0	0
62	1	2001-05-09 01:01:00	29.0028	53.019	20.1341	68.8716	653.397	0	0
63	1	2001-05-09 01:02:00	29.003	53.0193	20.1337	68.8669	650.249	0	0
64	1	2001-05-09 01:03:00	29.0033	53.0198	20.1332	68.8628	647.141	0	0
65	1	2001-05-09 01:04:00	29.0038	53.0206	20.1327	68.859	653.146	0	0
66	1	2001-05-09 01:05:00	29.0043	53.0214	20.132	68.8556	650.002	0	0
67	1	2001-05-09 01:06:00	29.0049	53.0225	20.1312	68.8525	646.896	0	0
68	1	2001-05-09 01:07:00	29.0055	53.0236	20.1304	68.8497	652.905	0	0
69	1	2001-05-09 01:08:00	29.0062	53.0248	20.1295	68.8471	649.763	0	0
70	1	2001-05-09 01:09:00	29.007	53.0261	20.1286	68.8447	655.736	0	0
71	1	2001-05-09 01:10:00	29.0078	53.0275	20.1277	68.8424	652.559	0	0
72	1	2001-05-09 01:11:00	29.0086	53.0289	20.1267	68.8402	649.422	0	0
73	1	2001-05-09 01:12:00	29.0095	53.0304	20.1257	68.8382	655.399	0	0
74	1	2001-05-09 01:13:00	29.0103	53.0319	20.1246	68.8362	652.226	0	0
75	1	2001-05-09 01:14:00	29.0112	53.0334	20.1236	68.8343	649.093	0	0
76	1	2001-05-09 01:15:00	29.0121	53.035	20.1225	68.8324	655.074	0	0
77	1	2001-05-09 01:16:00	29.0131	53.0366	20.1214	68.8306	651.906	0	0
78	1	2001-05-09 01:17:00	29.014	53.0382	20.1204	68.8288	648.777	0	0
79	1	2001-05-09 01:18:00	29.0149	53.0398	20.1193	68.827	654.762	0	0
80	1	2001-05-09 01:19:00	29.0159	53.0414	20.1182	68.8253	651.597	0	0
81	1	2001-05-09 01:20:00	29.0168	53.0431	20.1171	68.8235	648.472	0	0
82	1	2001-05-09 01:21:00	29.0177	53.0447	20.116	68.8218	654.461	0	0
83	1	2001-05-09 01:22:00	29.0187	53.0463	20.1149	68.8201	651.3	0	0
84	1	2001-05-09 01:23:00	29.0196	53.048	20.1138	68.8183	648.178	0	0
85	1	2001-05-09 01:24:00	29.0206	53.0496	20.1127	68.8166	654.171	0	0
86	1	2001-05-09 01:25:00	29.0215	53.0512	20.1116	68.8148	651.013	0	0
87	1	2001-05-09 01:26:00	29.0225	53.0529	20.1105	68.8131	647.895	0	0
88	1	2001-05-09 01:27:00	29.0234	53.0545	20.1094	68.8113	653.891	0	0
89	1	2001-05-09 01:28:00	29.0244	53.0561	20.1083	68.8095	650.737	0	0
90	1	2001-05-09 01:29:00	29.0253	53.0578	20.1073	68.8077	647.623	0	0
91	1	2001-05-09 01:30:00	29.0263	53.0594	20.1062	68.8059	653.622	0	0
92	1	2001-05-09 01:31:00	29.0272	53.061	20.1051	68.8041	650.472	0	0
93	1	2001-05-09 01:32:00	29.0281	53.0626	20.104	68.8023	647.36	0	0
94	1	2001-05-09 01:33:00	29.0291	53.0642	20.1029	68.8005	653.363	0	0
95	1	2001-05-09 01:34:00	29.03	53.0658	20.1019	68.7986	650.216	0	0
96	1	2001-05-09 01:35:00	29.0309	53.0674	20.1008	68.7967	647.107	0	0
97	1	2001-05-09 01:36:00	29.0318	53.069	20.0997	68.7948	653.113	0	0
98	1	2001-05-09 01:37:00	29.0328	53.0706	20.0987	68.793	649.969	0	0
99	1	2001-05-09 01:38:00	29.0337	53.0722	20.0976	68.791	655.939	0	0
100	1	2001-05-09 01:39:00	29.0346	53.0737	20.0966	68.7891	652.76	0	0
101	1	2001-05-09 01:40:00	29.0355	53.0753	20.0955	68.7872	649.62	0	0
102	1	2001-05-09 01:41:00	29.0364	53.0769	20.0945	68.7853	655.595	0	0
103	1	2001-05-09 01:42:00	29.0373	53.0785	20.0934	68.7833	652.42	0	0
104	1	2001-05-09 01:43:00	29.0382	53.08	20.0924	68.7814	649.284	0	0
