minute	indoorsCo2	indoorsRh	indoorsTemperature	growthLight	heating	photosynthesis
440	647.204	69.3871	19.8363	0	82.6943	0.0366659
441	652.548	69.4473	19.8234	0	82.725	0.0368719
442	648.716	69.5081	19.8102	0	82.7556	0.0369945
443	653.971	69.5695	19.7969	0	82.7866	0.0371995
444	650.051	69.6314	19.7835	0	82.818	0.0373208
445	646.156	69.6935	19.7701	0	82.8496	0.0374413
446	651.35	69.7558	19.7566	0	82.8814	0.0376458
447	647.37	69.8183	19.7431	0	82.9133	0.0377649
448	652.48	69.8807	19.7295	0	82.9452	0.0379684
449	648.415	69.9432	19.716	0	82.9772	0.0380861
450	653.442	70.0056	19.7025	0	83.0092	0.0382885
451	649.296	70.0679	19.689	0	83.0411	0.0384047
452	654.241	70.13	19.6755	0	83.0729	0.0386062
453	650.016	70.1919	19.6621	0	83.1047	0.0387208
454	645.825	70.2536	19.6488	0	83.1363	0.0388347
455	650.728	70.3149	19.6356	0	83.1678	0.0390358
456	646.46	70.3766	19.6222	0	83.1991	0.0391482
457	651.286	70.4401	19.6084	0	83.2306	0.0393483
458	646.943	70.505	19.5944	0	83.2631	0.0394593
459	651.695	70.5709	19.58	0	83.2965	0.039654
460	647.279	70.6376	19.5654	0	83.3304	0.0397565
461	651.959	70.7051	19.5507	0	83.3647	0.0399479
462	647.472	70.773	19.5359	0	83.3995	0.040049
463	652.083	70.8412	19.521	0	83.4346	0.0402397
464	647.527	70.9097	19.5061	0	83.4698	0.0403394
465	652.071	70.9782	19.4911	0	83.5051	0.0405292
466	647.45	71.0467	19.4761	0	83.5405	0.0406276
467	651.928	71.1151	19.4612	0	83.5758	0.0408167
468	647.243	71.1833	19.4463	0	83.6111	0.0409135
469	651.66	71.2513	19.4315	0	83.6463	0.0411019
470	646.914	71.3189	19.4168	0	83.6813	0.0411974
471	651.27	71.3861	19.4021	0	83.7162	0.041385
472	646.465	71.4529	19.3876	0	83.7508	0.041479
473	650.764	71.5193	19.3732	0	83.7851	0.0416659
474	645.903	71.5851	19.3589	0	83.8192	0.0417584
475	650.147	71.6504	19.3447	0	83.853	0.0419447
476	645.232	71.7151	19.3307	0	83.8865	0.0420357
477	649.423	71.7793	19.3168	0	83.9197	0.0422213
478	653.5	71.8428	19.303	0	83.9526	0.0424052
479	648.421	71.9058	19.2894	0	83.9851	0.0424939
480	652.451	71.968	19.276	0	84.0172	0.0426756
481	647.326	72.0297	19.2627	0	84.049	0.042754
482	651.313	72.0903	19.2497	0	84.0805	0.0430987
483	646.149	72.1498	19.2369	0	84.1114	0.0433474
484	650.096	72.2082	19.2243	0	84.1416	0.0436949
485	644.893	72.2656	19.212	0	84.1713	0.0439446
486	648.803	72.3221	19.1999	0	84.2004	0.0442949
487	652.601	72.3777	19.1881	0	84.229	0.0446454
488	647.251	72.4324	19.1764	0	84.257	0.0448968
489	651.018	72.4863	19.1649	0	84.2847	0.0452502
490	645.638	72.5395	19.1536	0	84.3118	0.0455025
491	649.375	72.5919	19.1425	0	84.3386	0.0458588
492	653.002	72.6436	19.1315	0	84.3649	0.0462153
493	647.484	72.6946	19.1207	0	84.3909	0.046469
494	651.087	72.745	19.11	0	84.4165	0.0468284
495	645.547	72.7947	19.0995	0	84.4418	0.0470831
496	649.129	72.8438	19.0891	0	84.4666	0.0474454
497	652.601	72.8924	19.0789	0	84.4912	0.0478079
498	646.932	72.9403	19.0688	0	84.5154	0.0480639
499	650.389	72.9877	19.0588	0	84.5394	0.0484294
500	644.706	73.0345	19.0489	0	84.563	0.0486861
501	648.149	73.0807	19.0392	0	84.5864	0.0490569
502	651.483	73.1265	19.0296	0	84.6093	0.049429
503	645.681	73.1717	19.0201	0	84.6321	0.0496905
504	649.007	73.2164	19.0107	0	84.6545	0.0500661
505	652.226	73.2606	19.0014	0	84.6768	0.0504422
506	646.312	73.3042	18.9923	0	84.6986	0.0507055
507	649.529	73.3474	18.9832	0	84.7204	0.0510851
508	652.64	73.3901	18.9743	0	84.7418	0.0514651
509	646.621	73.4324	18.9655	0	84.7629	0.0517301
510	649.736	73.4741	18.9568	0	84.7838	0.0521138
511	652.746	73.5154	18.9481	0	84.8045	0.0524978
512	646.629	73.5562	18.9396	0	84.8249	0.0527644
513	649.649	73.5966	18.9312	0	84.845	0.0531522
514	652.565	73.6365	18.9229	0	84.8649	0.0535404
515	646.356	73.676	18.9147	0	84.8847	0.0538085
516	649.288	73.715	18.9065	0	84.9041	0.0542005
517	652.116	73.7536	18.8985	0	84.9234	0.0545928
518	645.823	73.7918	18.8906	0	84.9424	0.0548624
519	648.673	73.8295	18.8827	0	84.9612	0.0552586
520	651.421	73.8669	18.875	0	84.9797	0.0556504
521	645.049	73.9037	18.8673	0	84.998	0.0558988
522	647.824	73.9402	18.8598	0	85.0162	0.0562756
523	650.497	73.9764	18.8523	0	85.0342	0.0566516
524	644.054	74.0121	18.8449	0	85.0519	0.0568984
525	646.759	74.0474	18.8376	0	85.0695	0.0572765
526	649.364	74.0823	18.8303	0	85.0867	0.0576537
527	651.871	74.1168	18.8232	0	85.1039	0.0580303
528	645.267	74.151	18.8161	0	85.1208	0.0582748
529	647.816	74.1847	18.8091	0	85.1376	0.0586534
530	650.268	74.2181	18.8022	0	85.1541	0.0590312
531	643.61	74.2511	18.7954	0	85.1705	0.0592739
532	646.108	74.2837	18.7887	0	85.1866	0.0596539
533	648.509	74.316	18.782	0	85.2026	0.0600331
534	650.815	74.3479	18.7754	0	85.2184	0.0604116
535	644.017	74.3794	18.7689	0	85.2339	0.0606517
536	646.379	74.4105	18.7625	0	85.2494	0.0610323
537	648.647	74.4413	18.7561	0	85.2646	0.0614122
538	650.822	74.4718	18.7498	0	85.2797	0.0617912
539	643.898	74.5019	18.7436	0	85.2946	0.0620286
540	646.138	74.5316	18.7375	0	85.3093	0.0624099
541	648.287	74.561	18.7314	0	85.3238	0.0627903
542	650.37	74.5854	18.7265	0	85.3382	0.0628868
543	643.384	74.6077	18.722	0	85.3499	0.0628382
544	645.591	74.6272	18.7182	0	85.3604	0.0629356
545	647.732	74.6445	18.7149	0	85.3695	0.0630312
546	649.809	74.6597	18.7121	0	85.3773	0.063125
547	651.825	74.6732	18.7096	0	85.3841	0.0632172
548	644.773	74.6852	18.7075	0	85.3899	0.0631645
549	646.915	74.6959	18.7056	0	85.395	0.0632579
550	648.994	74.7055	18.704	0	85.3993	0.0633496
551	651.01	74.7142	18.7027	0	85.4031	0.0634397
552	643.959	74.7221	18.7015	0	85.4064	0.0633841
553	646.103	74.7292	18.7004	0	85.4091	0.0634756
554	648.183	74.7358	18.6995	0	85.4116	0.0635653
555	650.201	74.7418	18.6988	0	85.4137	0.0636534
556	643.151	74.7473	18.6981	0	85.4155	0.0635959
557	645.297	74.7524	18.6975	0	85.4171	0.0636943
558	647.378	74.7572	18.697	0	85.4184	0.0637909
559	649.396	74.7617	18.6966	0	85.4197	0.0638857
560	651.354	74.7659	18.6962	0	85.4206	0.0639787
561	644.246	74.7699	18.6959	0	85.4215	0.0639249
562	646.335	74.7737	18.6957	0	85.4222	0.0640191
563	648.362	74.7773	18.6954	0	85.4229	0.0641114
564	650.327	74.7808	18.6952	0	85.4235	0.064202
565	643.226	74.7841	18.6951	0	85.4239	0.0641449
566	645.323	74.7874	18.6949	0	85.4243	0.0642367
567	647.356	74.7905	18.6948	0	85.4246	0.0643267
568	649.328	74.7935	18.6947	0	85.4249	0.0644149
569	651.239	74.7964	18.6947	0	85.4251	0.0645014
570	644.088	74.7993	18.6946	0	85.4252	0.0644399
571	646.134	74.8021	18.6946	0	85.4254	0.0645276
572	648.119	74.8049	18.6945	0	85.4255	0.0646136
573	650.043	74.8076	18.6945	0	85.4255	0.0646978
574	642.903	74.8103	18.6945	0	85.4257	0.0646331
575	644.962	74.8129	18.6945	0	85.4257	0.0647186
576	646.959	74.8155	18.6945	0	85.4257	0.0648023
577	648.894	74.8181	18.6945	0	85.4255	0.0648842
578	650.77	74.8206	18.6946	0	85.4255	0.0649645
579	643.584	74.8231	18.6946	0	85.4255	0.0648955
580	645.598	74.8256	18.6946	0	85.4254	0.064977
581	647.551	74.828	18.6947	0	85.4253	0.0650568
582	649.444	74.8305	18.6947	0	85.4252	0.0651349
583	651.278	74.8329	18.6948	0	85.4251	0.0652112
584	644.052	74.8352	18.6949	0	85.4249	0.065138
585	646.027	74.8376	18.6949	0	85.4248	0.0652158
586	647.941	74.84	18.695	0	85.4246	0.0652918
587	649.797	74.8423	18.6951	0	85.4244	0.0653661
588	651.595	74.8446	18.6952	0	85.4243	0.0654386
589	644.334	74.8469	18.6952	0	85.4241	0.0653615
590	646.275	74.8492	18.6953	0	85.4239	0.0654361
591	648.157	74.8515	18.6954	0	85.4236	0.0655089
592	649.98	74.8537	18.6955	0	85.4235	0.0655799
593	651.746	74.856	18.6956	0	85.4233	0.0656493
594	644.455	74.8582	18.6957	0	85.423	0.0655684
595	646.367	74.8604	18.6958	0	85.4227	0.0656392
596	648.22	74.8626	18.6959	0	85.4225	0.0657083
597	650.015	74.8648	18.6961	0	85.4222	0.0657756
598	642.752	74.867	18.6962	0	85.4219	0.0656916
599	644.692	74.8691	18.6963	0	85.4217	0.0657605
600	646.571	74.8713	18.6964	0	85.4214	0.0658276
601	648.393	74.8734	18.6966	0	85.4211	0.0658927
602	650.157	74.8737	18.6971	0	85.4208	0.0660176
603	642.863	74.8708	18.6984	0	85.4194	0.0659915
604	644.774	74.8656	18.7002	0	85.4164	0.0661198
605	646.625	74.8583	18.7025	0	85.4121	0.0662473
606	648.418	74.8493	18.7052	0	85.4066	0.0663741
607	650.155	74.8387	18.7083	0	85.4002	0.0665001
608	642.835	74.827	18.7117	0	85.3929	0.0664739
609	644.72	74.8141	18.7153	0	85.385	0.0666034
610	646.546	74.8003	18.7191	0	85.3764	0.0667322
611	648.314	74.7858	18.7231	0	85.3673	0.0668603
612	650.027	74.7706	18.7273	0	85.3578	0.0669877
613	642.684	74.7548	18.7317	0	85.3479	0.0669616
614	644.547	74.7385	18.7361	0	85.3376	0.0670926
615	646.351	74.7218	18.7407	0	85.327	0.0672229
616	648.098	74.7048	18.7453	0	85.3163	0.0673525
617	649.79	74.6875	18.7501	0	85.3052	0.0674815
618	651.427	74.6699	18.7549	0	85.294	0.0676099
619	644.012	74.6522	18.7598	0	85.2826	0.0675824
620	645.805	74.6343	18.7647	0	85.2711	0.0677111
621	647.541	74.6162	18.7696	0	85.2594	0.0678391
622	649.222	74.5981	18.7746	0	85.2476	0.0679663
623	650.848	74.5798	18.7797	0	85.2358	0.0680928
624	643.423	74.5615	18.7848	0	85.2238	0.068063
625	645.206	74.5431	18.7899	0	85.2118	0.0681931
626	646.933	74.5247	18.795	0	85.1997	0.0683224
627	648.604	74.5063	18.8001	0	85.1876	0.068451
628	650.222	74.4878	18.8053	0	85.1754	0.0685789
629	642.787	74.4693	18.8105	0	85.1631	0.0685489
630	644.563	74.4508	18.8157	0	85.1509	0.0686803
631	646.281	74.4324	18.8209	0	85.1385	0.0688111
632	647.945	74.4139	18.8262	0	85.1261	0.068941
633	649.554	74.3955	18.8314	0	85.1137	0.0690703
634	651.112	74.377	18.8367	0	85.1013	0.0691988
635	643.619	74.3586	18.8419	0	85.0889	0.0691683
636	645.339	74.3403	18.8472	0	85.0764	0.0693005
637	647.003	74.3219	18.8525	0	85.0639	0.069432
638	648.613	74.3036	18.8578	0	85.0514	0.0695628
639	650.17	74.2853	18.8631	0	85.0388	0.0696929
640	642.679	74.267	18.8684	0	85.0263	0.069662
641	644.399	74.2488	18.8737	0	85.0137	0.0697958
642	646.063	74.2306	18.879	0	85.0011	0.0699289
643	647.674	74.2125	18.8844	0	84.9885	0.0700612
644	649.232	74.1943	18.8897	0	84.9759	0.0701928
645	650.739	74.1763	18.8951	0	84.9632	0.0703236
646	643.199	74.1582	18.9004	0	84.9506	0.0702921
647	644.872	74.1402	18.9058	0	84.9378	0.0704251
648	646.49	74.1223	18.9112	0	84.9251	0.070555
649	648.056	74.1044	18.9165	0	84.9125	0.0706841
650	649.571	74.0865	18.9219	0	84.8997	0.0708124
651	651.035	74.0686	18.9273	0	84.8869	0.0709399
652	643.454	74.0509	18.9327	0	84.8742	0.0709034
653	645.088	74.0331	18.9381	0	84.8614	0.0710346
654	646.668	74.0154	18.9435	0	84.8486	0.071165
655	648.196	73.9978	18.9489	0	84.8358	0.0712946
656	649.674	73.9801	18.9543	0	84.823	0.0714234
657	651.103	73.9626	18.9598	0	84.8102	0.0715515
658	643.487	73.945	18.9652	0	84.7974	0.0715138
659	645.088	73.9275	18.9706	0	84.7845	0.0716456
660	646.636	73.9101	18.9761	0	84.7716	0.0717766
661	648.134	73.8927	18.9815	0	84.7587	0.0719068
662	649.584	73.8766	18.9867	0	84.7459	0.0716887
663	650.991	73.8632	18.9912	0	84.7337	0.0714692
664	643.359	73.8519	18.9953	0	84.7229	0.0710844
665	644.948	73.8422	18.999	0	84.7132	0.0708684
666	646.489	73.8339	19.0024	0	84.7045	0.0706509
667	647.984	73.8268	19.0056	0	84.6964	0.0704321
668	649.433	73.8208	19.0085	0	84.689	0.0702118
669	650.838	73.8156	19.0112	0	84.682	0.0699902
670	643.204	73.8112	19.0137	0	84.6757	0.0696068
671	644.793	73.8074	19.0161	0	84.6697	0.0693885
672	646.333	73.8042	19.0184	0	84.664	0.0691687
673	647.826	73.8015	19.0205	0	84.6586	0.0689475
674	649.274	73.7992	19.0226	0	84.6534	0.068724
675	650.678	73.7972	19.0246	0	84.6485	0.0684989
676	643.043	73.7956	19.0266	0	84.6438	0.0681156
677	644.631	73.7942	19.0285	0	84.6392	0.0678937
678	646.17	73.793	19.0303	0	84.6347	0.0676704
679	647.662	73.7921	19.0321	0	84.6303	0.0674457
680	649.109	73.7913	19.0339	0	84.6261	0.0672197
681	650.513	73.7906	19.0356	0	84.6219	0.0669923
682	642.877	73.7901	19.0373	0	84.6178	0.0666104
683	644.464	73.7897	19.039	0	84.6137	0.0663862
684	646.002	73.7895	19.0407	0	84.6098	0.0661606
685	647.494	73.7892	19.0424	0	84.6057	0.0659336
686	648.94	73.7891	19.044	0	84.6019	0.0657052
687	650.343	73.7891	19.0457	0	84.5979	0.0654756
688	642.706	73.7891	19.0473	0	84.594	0.0650951
689	644.293	73.7891	19.0489	0	84.5902	0.0648686
690	645.831	73.7892	19.0505	0	84.5863	0.0646406
691	647.322	73.7894	19.0522	0	84.5825	0.0644114
692	648.768	73.7895	19.0538	0	84.5786	0.0641807
693	650.169	73.7898	19.0554	0	84.5748	0.0639488
694	642.533	73.79	19.057	0	84.571	0.0635699
695	644.118	73.7903	19.0586	0	84.5672	0.063341
696	645.656	73.7906	19.0602	0	84.5634	0.0631108
697	647.147	73.7909	19.0618	0	84.5597	0.0628793
698	648.592	73.7913	19.0634	0	84.5559	0.0626464
699	649.993	73.7917	19.065	0	84.552	0.0624123
700	651.352	73.7921	19.0666	0	84.5482	0.0621686
701	643.673	73.7925	19.0682	0	84.5444	0.0617812
702	645.218	73.793	19.0698	0	84.5406	0.0615393
