Date	GlobRad	Tmin	Tmax	VP	WindSpeed	Rain	AvgPar30
25/03/2013	23.7	22.17	37.66	3.274985596	0.95	1.8	10.4565
26/03/2013	22.3	23.03	35.59	2.649915091	2.35	0.05	10.4776666666667
27/03/2013	21.19	22.31	33.89	2.241821552	3.19	0.2	10.4938333333333
28/03/2013	18.4	20.92	33.68	2.272600691	3.09	0.06	10.4753333333333
29/03/2013	19.33	20.01	32.64	1.814619136	3.06	1.5	10.4185
30/03/2013	17.5	20.71	33.08	1.891800076	2.6	0.44	10.3556666666667
31/03/2013	20.82	21.34	34.03	1.889016478	2.57	0.93	10.2955
01/04/2013	22.29	22.15	35.21	2.182003687	2.43	0.06	10.4226666666667
02/04/2013	22.8	21.38	34.89	2.339108952	2.28	0.15	10.398
03/04/2013	23.65	21.05	35.48	2.659862889	1.83	0.01	10.3966666666667
04/04/2013	21.49	22.48	34.04	2.163196459	1.6	0.46	10.4183333333333
05/04/2013	19.17	23.51	34.08	2.075704639	1.73	0.7	10.3905
06/04/2013	19.65	22.76	34.72	2.332130651	2.25	1.03	10.3045
07/04/2013	25.87	21.15	34.42	2.580774808	2.35	0.13	10.3693333333333
08/04/2013	18.65	20.6	34.63	2.471271981	1.96	0.19	10.3606666666667
09/04/2013	20.09	21.86	35.82	2.796438049	2.17	0.01	10.4213333333333
10/04/2013	20.55	21.8	35.76	2.693544637	1.78	0.01	10.4191666666667
11/04/2013	20.57	22.47	36.71	2.974964508	1.56	0.17	10.4116666666667
12/04/2013	20.46	23.1	36.68	2.765028662	1.77	0	10.4201666666667
13/04/2013	22.03	23.03	36.26	2.797343569	2.09	0	10.3998333333333
14/04/2013	21.6	22.31	36.36	2.88350056	1.93	0	10.4463333333333
15/04/2013	20.96	23.35	37.08	2.78318657	1.83	0	10.5625
16/04/2013	22.38	23.97	36.49	2.586548299	2.47	0	10.5791666666667
17/04/2013	22.19	23.01	35.91	2.611330653	2.37	0.09	10.61
18/04/2013	21.85	22.62	35.38	2.530561585	1.99	0.43	10.63
19/04/2013	21.04	22.36	35.67	2.480395636	1.87	0.77	10.6036666666667
20/04/2013	20.58	23.07	35.5	2.506940213	2.05	0.79	10.6268333333333
21/04/2013	22.52	22.19	35.58	2.445532446	1.73	1.59	10.621
22/04/2013	22.05	22.45	35.95	2.778012202	1.67	0.53	10.6981666666667
23/04/2013	22.53	22.96	35.73	2.762764548	1.97	0.4	10.6368333333333
24/04/2013	23.86	22.69	35.51	2.641158706	2.05	0.01	10.6395
25/04/2013	16.35	22.7	34.29	2.217235157	2.53	0.71	10.5403333333333
26/04/2013	18.74	22.27	34.92	2.557110913	2.66	0	10.4995
27/04/2013	22.63	22.72	35.41	2.828258205	2.25	0.01	10.57
28/04/2013	16.2	22.79	34.17	2.294734948	1.79	1.59	10.5178333333333
29/04/2013	18	21.9	34.18	2.277231157	1.56	2.61	10.5261666666667
30/04/2013	24.73	21.36	35.36	2.839950255	1.14	0	10.5913333333333
01/05/2013	21.73	23.14	36.5	2.841026933	0.77	0.24	10.582
02/05/2013	21.81	24.43	36.96	2.925132979	1.21	1.02	10.5655
03/05/2013	19.38	24.16	29.04	0.890551644	0.79	22.29	10.4943333333333
04/05/2013	23.89	22.86	34.4	2.222131185	1.13	0	10.5343333333333
05/05/2013	22.02	22.61	34.53	2.185696135	1.13	1.46	10.5818333333333
06/05/2013	20.98	21.78	31.79	1.272133201	1.04	21.87	10.604
07/05/2013	21.22	21.22	32.94	1.631676172	1.54	6.33	10.5265
08/05/2013	20.59	21.54	33.36	1.867875636	1.52	0	10.5588333333333
09/05/2013	18.57	21.39	33.98	1.945319082	1.52	0.49	10.5335
10/05/2013	17.56	22.44	34.55	1.989848901	1.62	0.52	10.4836666666667
11/05/2013	13.7	23.76	32.76	1.367450422	1.86	7.08	10.3691666666667
12/05/2013	21.13	22.38	33.4	1.743625068	1.88	5.62	10.3803333333333
13/05/2013	20.29	22.06	34.2	2.208320798	2.37	0.01	10.3513333333333
14/05/2013	17.18	21.64	34.06	2.275405158	2.46	0	10.2776666666667
15/05/2013	19.73	20.82	33.91	2.217892575	2.12	0.13	10.2571666666667
16/05/2013	22.165	21.73	33.96	2.121779498	1.69	0.06	10.2535833333333
17/05/2013	24.6	21.4	34.02	2.183125934	1.51	0	10.29375
18/05/2013	23.75	21.61	34.87	2.217215381	1.67	0.24	10.3254166666667
19/05/2013	20.83	22.71	35.46	2.342456561	1.73	0.48	10.3219166666667
20/05/2013	21.84	23	35.57	2.386240262	1.66	0.4	10.3429166666667
21/05/2013	15.78	23.16	34.95	1.948176456	1.42	14.16	10.2305833333333
22/05/2013	11.07	23.16	31.52	0.942735825	1.09	32.89	10.0475833333333
23/05/2013	20.31	22.82	29.59	0.659321775	1.15	13.66	10.0105833333333
24/05/2013	9.38	22.28	29.08	0.553009302	1.56	16.81	9.76925
25/05/2013	11.03	22.52	28.88	0.707948114	1.76	0.58	9.68058333333333
26/05/2013	15.21	22.32	28.96	0.811010445	1.42	0.4	9.62175
27/05/2013	19.1	21.96	31.4	1.046037704	1.37	3.42	9.56291666666667
28/05/2013	20.83	22.57	29.6	0.600895448	1.34	13.6	9.64008333333333
29/05/2013	19.51	22.92	29.31	0.648367249	0.85	27.96	9.66525
30/05/2013	17.18	21.7	27.58	0.423618583	0.71	14.47	9.53941666666667
31/05/2013	19.12	22.17	28.56	0.545976082	0.59	10.11	9.49591666666667
01/06/2013	18.83	22.53	28.6	0.529653632	0.73	8.61	9.44625
02/06/2013	18.09	22.85	28.67	0.715878222	0.67	1.78	9.42475
03/06/2013	17.84	22.33	30.46	0.908841028	0.66	1.87	9.32391666666667
04/06/2013	23.37	22.9	30.65	0.805287886	0.52	4.61	9.34641666666667
05/06/2013	19.1	23.41	29.97	0.683603795	0.58	18.41	9.31508333333333
06/06/2013	19.98	22.88	29.41	0.547661738	0.64	29.9	9.29441666666667
07/06/2013	15.98	22.96	29.23	0.558629005	0.86	0.2	9.21758333333333
08/06/2013	21.7	22.96	30.58	0.837996253	1.45	0.67	9.26975
09/06/2013	14.15	22.14	30.25	0.776766291	1.53	4.38	9.21291666666667
10/06/2013	3.24	23.22	26.83	0.242894011	1.22	15.24	9.03858333333333
11/06/2013	9.18	23	28.04	0.396540201	1.39	1.81	8.83941666666667
12/06/2013	16.7	22.45	28.86	0.48887969	1.74	1	8.77958333333333
13/06/2013	6.34	21.07	28.1	0.604864566	1.84	0.28	8.59891666666667
14/06/2013	12.87	20.63	29.28	0.668794427	1.54	0.81	8.48458333333333
15/06/2013	18.45	22.74	30.28	0.778101398	1.62	1.52	8.42266666666667
16/06/2013	15.41	22.51	26.98	0.458076515	1.37	6.3	8.2695
17/06/2013	17.315	21.77	28.96	0.484131727	1.43	2.88	8.16225
18/06/2013	19.22	22.74	29.67	0.659451966	1.67	1.66	8.13541666666667
19/06/2013	16.72	22.43	29.75	0.712199249	1.5	1.46	8.05008333333333
20/06/2013	12.45	23.27	27.91	0.436359181	1.62	3.95	7.99458333333333
21/06/2013	11.18	23.04	28.27	0.427956266	1.56	3.52	7.99641666666667
22/06/2013	15.07	22.69	27.01	0.46315879	1.85	1.29	7.90908333333333
23/06/2013	18.41	22.29	28.22	0.554040554	2.01	4.01	8.05958333333333
24/06/2013	13.94	22.35	27.82	0.475541291	1.77	1.92	8.10808333333333
